id	type	answer
id	ÀàÐÍ	´ð°¸
1200001	1	1
1200002	1	3
1200003	1	2
1200004	1	2
1200005	1	3
1200006	1	1
1200007	1	3
1200008	1	1
1200009	1	3
1200010	1	2
1200011	1	1
1200012	1	2
1200013	1	1
1200014	1	1
1200015	1	3
1100001	2	3
1100002	2	1
1100003	2	2
1100004	2	1
1100005	2	2
1100006	2	3
1100007	2	1
1100008	2	2
1100009	2	1
1100010	2	1
1100011	2	1
1100012	2	3
1100013	2	1
1100014	2	2
1100015	2	3
1100016	2	2
1100017	2	3
1100018	2	2
1100019	2	2
1100020	2	1
1100021	2	2
1100022	2	1
1100023	2	2
1100024	2	1
1100025	2	1
1100026	2	1
1100027	2	2
1100028	2	1
1100029	2	2
1100030	2	1
1100031	2	2
1100032	2	2
1100033	2	1
1100034	2	1
1100035	2	2
1100036	2	2
1100037	2	1
1100038	2	3
1100039	2	2
1100040	2	1
1100041	2	2
1100042	2	2
1100043	2	3
1100044	2	3
1100045	2	3
1100046	2	1
1100047	2	1
1100048	2	2
1100049	2	2
1100050	2	1
1100051	2	2
1100052	2	1
1100053	2	2
1100054	2	1
1100055	2	2
1100056	2	3
1100057	2	1
1100058	2	2
1100059	2	2
1100060	2	1
1100061	2	1
1100062	2	3
1100063	2	3
1100064	2	2
1100065	2	1
1100066	2	2
1100067	2	3
1100068	2	1
1100069	2	3
1100070	2	2
1100071	2	1
1100072	2	2
1100073	2	2
1100074	2	3
1100075	2	1
1100076	2	1
1100077	2	3
1100078	2	2
1100079	2	1
1100080	2	1
1100081	2	2
1100082	2	2
1100083	2	3
1100084	2	3
1100085	2	1
1100086	2	3
1100087	2	2
1100088	2	3
1100089	2	2
1100090	2	3
1100091	2	1
1100092	2	1
1100093	2	2
1100094	2	3
1100095	2	1
1100096	2	3
1100097	2	1
1100098	2	2
1100099	2	3
1100100	2	1
1100101	2	2
1100102	2	3
1100103	2	1
1100104	2	1
1100105	2	3
1100106	2	2
1100107	2	1
1100108	2	3
1100109	2	3
1100110	2	1
1100111	2	1
1100112	2	2
1100113	2	2
1100114	2	2
1100115	2	2
1100116	2	3
1100117	2	2
1100118	2	1
1100119	2	1
1100120	2	1
1100121	2	2
1100122	2	2
1100123	2	3
1100124	2	3
1100125	2	3
1100126	2	3
1100127	2	3
1100128	2	1
1100129	2	1
1100130	2	3
1100131	2	2
1100132	2	2
1100133	2	1
1100134	2	3
1100135	2	3
1100136	2	3
1100137	2	2
1100138	2	3
1100139	2	2
1100140	2	3
1100141	2	3
1100142	2	3
1100143	2	2
1100144	2	3
1100145	2	3
1100146	2	3
1100147	2	3
1100148	2	1
1100149	2	2
1100150	2	1
1100151	2	3
1100152	2	1
1100153	2	3
1100154	2	2
1100155	2	1
1100156	2	2
1100157	2	3
1100158	2	1
1300001	3	3
1300002	3	3
1300003	3	1
1300004	3	2
1300005	3	2
1300006	3	3
1300007	3	3
1300008	3	1
1300009	3	2
1300010	3	2
1300011	3	1
1300012	3	3
1300013	3	2
1300014	3	3
1300015	3	2
1300016	3	3
1300017	3	1
1300018	3	2
1300019	3	1
1300020	3	3
1300021	3	2
1300022	3	2
1300023	3	3
1300024	3	1
1300025	3	3
1300026	3	2
1300027	3	1
1300028	3	3
1300029	3	3
1300030	3	2
1300031	3	3
1300032	3	3
1300033	3	2
1300034	3	3
1300035	3	1
1300036	3	2
1300037	3	1
1300038	3	1
1300039	3	3
1300040	3	2
1300041	3	2
1300042	3	3
1300043	3	2
1300044	3	1
1300045	3	1
1300046	3	1
1300047	3	3
1300048	3	2
1300049	3	2
1300050	3	2
1300051	3	3
1300052	3	1
1300053	3	2
1300054	3	2
1300055	3	3
1300056	3	1
1300057	3	1
1300058	3	3
1300059	3	3
1300060	3	2
1300061	3	1
1300062	3	2
1300063	3	2
1300064	3	1
1300065	3	1
1300066	3	1
1300067	3	2
1300068	3	2
1300069	3	1
1300070	3	3
1300071	3	2
1300072	3	2
1300073	3	1
1300074	3	3
1300075	3	1
1300076	3	3
1300077	3	2
1300078	3	1
1300079	3	3
1300080	3	2
1300081	3	3
1300082	3	2
1300083	3	1
1300084	3	2
1300085	3	2
1300086	3	1
1300087	3	3
1300088	3	3
1300089	3	1
1300090	3	2
1300091	3	1
1300092	3	2
1300093	3	1
1300094	3	2
1300095	3	3
1300096	3	1
1300097	3	2
1300098	3	2
1300099	3	3
1300100	3	2
1300101	3	2
1300102	3	1
1300103	3	1
1300104	3	2
1300105	3	3
1300106	3	2
1300107	3	1
1300108	3	1
1300109	3	2
1300110	3	1
1300111	3	3
1300112	3	1
1300113	3	2
1300114	3	2
1300115	3	3
1300116	3	1
1300117	3	3
1300118	3	2
1300119	3	1
1300120	3	3
1300121	3	3
1300122	3	2
1300123	3	2
1300124	3	3
1300125	3	2
1300126	3	1
1300127	3	1
1300128	3	2
1300129	3	3
1300130	3	1
1300131	3	2
1300132	3	1
1300133	3	1
1300134	3	2
1300135	3	1
1300136	3	3
1300137	3	1
1300138	3	3
1300139	3	1
1300140	3	2
1300141	3	3
1300142	3	2
1300143	3	1
1300144	3	3
1300145	3	1
1300146	3	2
1300147	3	2
1300148	3	1
1300149	3	2
1300150	3	1
1300151	3	3
1300152	3	2
1300153	3	1
1300154	3	1
1300155	3	1
1300156	3	3
1300157	3	2
1300158	3	2
1300159	3	1
1300160	3	2
1300161	3	1
1300162	3	1
1300163	3	3
1300164	3	1
1300165	3	2
1300166	3	3
1300167	3	3
1300168	3	2
1300169	3	1
1300170	3	3
1300171	3	1
1300172	3	1
1300173	3	3
1300174	3	2
1300175	3	1
1300176	3	2
1300177	3	1
1300178	3	1
1300179	3	2
1300180	3	2
1300181	3	2
1300182	3	3
1300183	3	3
1300184	3	2
1300185	3	1
1300186	3	2
1300187	3	3
1300188	3	2
1300189	3	2
1300190	3	1
1300191	3	1
1300192	3	2
1300193	3	1
1300194	3	2
1300195	3	1
1300196	3	2
1300197	3	1
1300198	3	2
1300199	3	1
1300200	3	2
1300201	3	3
1300202	3	2
1300203	3	3
1300204	3	2
1300205	3	1
1300206	3	2
1300207	3	2
1300208	3	2
1300209	3	2
1300210	3	3
1300211	3	2
1300212	3	3
1300213	3	2
1300214	3	2
1300215	3	2
1300216	3	3
1300217	3	3
1300218	3	1
1300219	3	2
1300220	3	3
1300221	3	2
1300222	3	3
1300223	3	3
1300224	3	2
1300225	3	2
1300226	3	1
1300227	3	2
1300228	3	1
1300229	3	3
1300230	3	1
1300231	3	1
1300232	3	3
1300233	3	1
1300234	3	2
1300235	3	3
1300236	3	3
1300237	3	3
1300238	3	1
1300239	3	2
1300240	3	1
1300241	3	3
1300242	3	1
1300243	3	2
1300244	3	1
1300245	3	2
1300246	3	3
1300247	3	1
1300248	3	3
1300249	3	2
1300250	3	1
